NCO_2015_Code,Occupation_Title,NCO_2004_Code
1111.0100,"Elected Official, Union Government",1111.10
1111.0200,"Elected Official, State Government",1112.10
1111.0300,"Elected Official, Local Bodies",1113.10
1111.9900,"Legislators, Other",1119.90
1112.0100,"Administrative Official, Union Government",1121.10
1112.0200,Diplomat,1121.20
1112.0300,"Executive Officials, Union Government",1121.30
1112.0400,"Administrative Official, State Government",1122.10
1112.0500,"Executive Official, State Government",1122.20
1112.0600,"Administrative and Executive Officials, Quasi 
Government (Central)",1123.10
1112.0700,"Administrative & Executive Officials, Quasi 
Government (State)",1123.20
1112.0800,"Administrative and Executive Officials, Local 
Bodies",1124.10
1112.9900,"Senior Government Officials, Other",1129.90
1114.0100,Political Worker,1141.10
1114.0200,"Senior Officials of Employers, Workers and Other 
Economic Interest Organizations",1142.00
1114.0300,"Director, Disaster Management Services",1143.10
1114.9900,"Senior Officials of Special Interest Organizations, 
Other",1143.90
1120.0100,"Working Proprietor, Electricity",1211.10
1120.0200,"Working Proprietor, Gas",1211.20
1120.0300,"Working Proprietor, Water Supply",1211.30
1120.0400,"Director, Electricity",1211.40
1120.0500,"Director, Gas",1211.50
1120.0600,"Director, Water Supply",1211.60
1120.0700,"Director, Bank",1212.10
1120.0800,"Director, Insurance",1212.20
1120.0900,"Working Proprietor, Mines/Proprietor, Mines",1213.10
1120.1000,"Working Proprietor, Quarry/Proprietor, Quarry",1213.20
1120.1100,"Working Proprietor, Well Drilling/Proprietor, 
Well Drilling",1213.30
1120.1200,"Working Proprietor, Construction/Proprietor, 
Construction",1213.40
1120.1300,"Director, Construction",1213.50
1120.1400,"Director, Mines",1213.60
1120.1500,"Director, Quarry",1213.70
1120.1600,"Director, Well Drilling",1213.80
1120.1700,"Working Proprietor, Manufacturing/Proprietor, 
Manufacturing",1214.10
1120.1800,Director Manufacturing,1214.20
1120.1900,"Working Proprietor, Wholesale Trade/Proprietor, 
Wholesale Trade",1214.30
1120.2000,"Working Proprietor, Retail Trade/Proprietor, 
Retail Trade",1214.40
1120.2100,"Director, Wholesale Trade",1214.50
1120.2200,"Director, Retail Trade",1214.60
1120.2300,"Working Proprietor, Transport",1215.10
1120.2400,"Director, Transport",1215.20
1120.2500,"Director, Communication",1215.30
1120.2600,"Director, Airport",1215.40
1120.2700,"Working Proprietor, Storage and Warehousing",1216.10
1120.2800,"Director, Storage and Warehousing",1216.20
1120.2900,"Working Proprietor, Lodging and Catering 
Services",1217.10
1120.3000,"Director, Lodging and Catering Services/Director 
Food and Beverage Service",1217.20
1120.3100,Executive Chef,1217.30
1120.3200,"Working Proprietor, Recreation and 
Entertainment",1218.10
1120.3300,"Director, Recreation and Entertainment",1218.20
1120.3400,"Station Director, Radio/TV",1218.30
1120.3401,Account Director ( Advertising Agency),1120.34
1120.3500,"Working Proprietor, Other Services",1219.10
1120.3600,"Director, Other Services",1219.20
1120.3700,"Director, Museum/Zoo",1219.30
1120.3800,Chief Librarian,1219.40
1120.3900,"Principal, College",1219.50
1120.9900,"Managing Directors and Chief Executives, Others",1211.90
1211.0100,"General Manager, Bank",1307.10
1211.0200,"General Manager, Insurance",1307.20
1211.0300,"Purser, Ship",1231.10
1211.9900,"Finance Managers, Others",1231.9
1212.0100,Personnel Manager,1232.10
1212.9900,"Personnel and Industrial Relations Managers,",1232.90
1213.0100,"Manager, Automotive Service",1239.10
